group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,175,77,0.44,15,0.08571428571428572,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,175,77,0.44,15,0.08571428571428572,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,175,77,0.44,15,0.08571428571428572,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,175,77,0.44,15,0.08571428571428572,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,175,77,0.44,15,0.08571428571428572,0.01
I <= 0.05,0,0,,0,,0.05
I > 0.05,175,77,0.44,15,0.08571428571428572,0.05
I <= 0.1,0,0,,0,,0.1
I > 0.1,175,77,0.44,15,0.08571428571428572,0.1
