# TQE Heisenberg Fluctuation - NO-LAW Scenario
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble: 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
time,mean_energy,std_energy,mean_entropy,mean_coherence,mean_uncertainty,std_uncertainty,mean_delta_x
0.000000000000000000e+00,8.708663366140223516e+00,3.479522317372939710e+00,1.383870161626158668e-01,2.126072647736011734e-02,6.136298833574914680e-01,8.235524035132743004e-01,7.375399889809807208e-01
4.013377926421404784e-02,8.696969866473587274e+00,3.493140630826353732e+00,2.375190120896250034e-01,2.068157867867651684e-02,6.312012313158446020e-01,8.026173876488370551e-01,7.455209244855476314e-01
8.026755852842809569e-02,8.688809952531819647e+00,3.505283984199406344e+00,3.218981215944697327e-01,2.021036362217103893e-02,6.533319656509077866e-01,8.054620694244577495e-01,7.527078438365777391e-01
1.204013377926421435e-01,8.683647970675510308e+00,3.514964786624224846e+00,3.970331879145539977e-01,1.981580195977740086e-02,6.789148013539052506e-01,8.327209718427565077e-01,7.592682728781394719e-01
1.605351170568561914e-01,8.680938825436708584e+00,3.521813430619041618e+00,4.655764501474201622e-01,1.946904375776235124e-02,7.068930293083122152e-01,8.799795595100294854e-01,7.653238796671496535e-01
2.006688963210702392e-01,8.680156439233551069e+00,3.526002454543084585e+00,5.290747870073156944e-01,1.915092976254372317e-02,7.363514159464734643e-01,9.396799924007711580e-01,7.709691249509939004e-01
2.408026755852842871e-01,8.680803043915767958e+00,3.528030126071326045e+00,5.885241835793761922e-01,1.885403310218332004e-02,7.664641775343641328e-01,1.003740474726188436e+00,7.762944927728070432e-01
2.809364548494983627e-01,8.682409442156071577e+00,3.528459416574036833e+00,6.446067878780236127e-01,1.857462459387840964e-02,7.964774592749190862e-01,1.065575225125660497e+00,7.814023272620717053e-01
3.210702341137123828e-01,8.684537188554752873e+00,3.527718957590057602e+00,6.978108178011664942e-01,1.830751720664453713e-02,8.257853641136202461e-01,1.121069486214750111e+00,7.864103624329322750e-01
3.612040133779264028e-01,8.686789441151937297e+00,3.526028487537305356e+00,7.484937891819388733e-01,1.804431784673225445e-02,8.540291278296723299e-01,1.168749805389861729e+00,7.914446393914300604e-01
4.013377926421404784e-01,8.688829973902334913e+00,3.523439572135960596e+00,7.969254618056637041e-01,1.778215247841145874e-02,8.811475216907227459e-01,1.209496797650673416e+00,7.966266801074354253e-01
4.414715719063545540e-01,8.690403212797074062e+00,3.519929309126931471e+00,8.433119362698056065e-01,1.752333500808851349e-02,9.073669664433755555e-01,1.245899659138886895e+00,8.020603438471123336e-01
4.816053511705685741e-01,8.691345158736289989e+00,3.515478820609060140e+00,8.878164996067239301e-01,1.727499858828873344e-02,9.331066764613121789e-01,1.281191452100412187e+00,8.078229940497324568e-01
5.217391304347825942e-01,8.691577168394886144e+00,3.510102665092763363e+00,9.305775895346473092e-01,1.703155636498168701e-02,9.587757668515721754e-01,1.317872578420235197e+00,8.139636893471948742e-01
5.618729096989967253e-01,8.691080733912164291e+00,3.503836743474093129e+00,9.717159396455827824e-01,1.678864817301824533e-02,9.845302535041482450e-01,1.356540757738778025e+00,8.205082841750741540e-01
6.020066889632107454e-01,8.689858927613125061e+00,3.496712070223466640e+00,1.011339547241837833e+00,1.654742348551276054e-02,1.010162495078408718e+00,1.395631459785598771e+00,8.274685870688197609e-01
6.421404682274247655e-01,8.687895684699050491e+00,3.488734794554379182e+00,1.049548842082684175e+00,1.630913172024125654e-02,1.035255475026033656e+00,1.432316762360920315e+00,8.348515256877686586e-01
6.822742474916387856e-01,8.685125564565828071e+00,3.479876535025519413e+00,1.086431451203265786e+00,1.607442573984895623e-02,1.059526145463577596e+00,1.463997822472165034e+00,8.426650303363797390e-01
7.224080267558528057e-01,8.681423380592866224e+00,3.470071154096961319e+00,1.122070119007790412e+00,1.584114944766050817e-02,1.083105812392523903e+00,1.489447124758910501e+00,8.509192164434266070e-01
7.625418060200669368e-01,8.676616724380714629e+00,3.459218847021555021e+00,1.156538192634372963e+00,1.560973247569182910e-02,1.106525022546547943e+00,1.509046808497565229e+00,8.596231598321050216e-01
8.026755852842809569e-01,8.670517265459629641e+00,3.447205213978962401e+00,1.189904139839135233e+00,1.537836585694885190e-02,1.130376236646561283e+00,1.524266066895461069e+00,8.687787008454007642e-01
8.428093645484949770e-01,8.662961319450113606e+00,3.433940763763937642e+00,1.222225296599214417e+00,1.514856814547536207e-02,1.154914206131531840e+00,1.536865100362976966e+00,8.783734159700091748e-01
8.829431438127091081e-01,8.653848078508831421e+00,3.419414224888280174e+00,1.253543375887579803e+00,1.492142963499880695e-02,1.179927289769393539e+00,1.548210098815906433e+00,8.883751827496015885e-01
9.230769230769231282e-01,8.643165378594911630e+00,3.403740492713851040e+00,1.283897070066843726e+00,1.469745973133750744e-02,1.204902470800292669e+00,1.558896148767634049e+00,8.987303810568496587e-01
9.632107023411371483e-01,8.630997021087360110e+00,3.387181171280368996e+00,1.313318481017038186e+00,1.447522220990048875e-02,1.229248650183165426e+00,1.568718808640362505e+00,9.093666485055706961e-01
